term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,dfidf,mean_tfidf
the,51842,0.04635923263406682,4.430999503589718,3,DT,2,"{'NNP', 'DT'}",1,the,the,the,0.0,0.0
and,27639,0.024715922047239165,5.338415461400765,3,CC,2,"{'NNP', 'CC'}",1,and,and,and,0.0,0.0
to,26855,0.0240148372436994,5.379930158776056,2,TO,2,"{'NNP', 'TO'}",1,to,to,to,0.0,0.0
he,22174,0.01982889596134018,5.656251836738503,2,PRP,2,"{'PRP', 'NNP'}",1,he,he,he,0.0,0.0
of,21813,0.019506075025016386,5.679932678952807,2,IN,2,"{'NNP', 'IN'}",1,of,of,of,0.0,0.0
a,21087,0.018856856189085433,5.728767019513504,1,DT,3,"{'NN', 'NNP', 'DT'}",1,a,a,a,0.0,0.0
harry,18258,0.016327048906924733,5.9365921405832,5,NNP,5,"{'NN', 'VB', 'NNP', 'RP', 'VBP'}",0,harri,harri,harry,0.0,0.0
was,15647,0.013992186123707487,6.159234804581777,3,VBD,4,"{'VB', 'IN', 'NNP', 'VBD'}",1,wa,was,was,0.0,0.0
s,14796,0.01323118718517134,6.239913674694957,1,VBD,19,"{'RB', 'NN', 'PRP', 'CC', 'VBZ', 'NNP', 'RBR', 'VBP', 'VBD', 'PDT', 'VB', 'JJ', 'RBS', 'NNS', 'FW', 'POS', 'MD', 'VBN', 'JJR'}",1,s,s,s,0.0,0.0
it,14562,0.013021934833094422,6.262912365946662,2,PRP,3,"{'VB', 'PRP', 'NNP'}",1,it,it,it,0.0,0.0
said,14491,0.012958443734814673,6.269963723934996,4,VBD,2,"{'NNP', 'VBD'}",0,said,said,said,0.43320145733875015,0.00062540630840825
you,14407,0.012883327505863984,6.278350928914687,3,PRP,11,"{'PRP$', 'RB', 'NN', 'VB', 'PRP', 'JJ', 'CD', 'VBZ', 'VBN', 'NNP', 'NNS'}",1,you,you,you,0.0,0.0
his,14290,0.012778701329825524,6.290114963835774,3,PRP$,2,"{'PRP$', 'NNP'}",1,hi,his,his,0.0,0.0
i,13468,0.012043635375093783,6.375585253991306,1,PRP,3,"{'JJ', 'PRP', 'NN'}",1,i,i,i,0.0,0.0
in,12657,0.0113184060693913,6.465185386878445,2,IN,2,"{'NNP', 'IN'}",1,in,in,in,0.0,0.0
that,10912,0.009757955837022821,6.67920533079478,4,IN,5,"{'RB', 'WDT', 'NNP', 'IN', 'DT'}",1,that,that,that,0.0,0.0
had,10165,0.009089957943854195,6.7815106650868575,3,VBD,3,"{'NNP', 'VBN', 'VBD'}",1,had,had,had,0.0,0.0
at,8706,0.007785260586246397,7.0050389550310515,2,IN,2,"{'NNP', 'IN'}",1,at,at,at,0.0,0.0
t,7704,0.00688923128376318,7.181441271975493,1,NN,15,"{'RB', 'NN', 'WDT', 'TO', 'VB', 'JJ', 'PRP', 'VBZ', 'NNS', 'IN', 'NNP', 'CC', 'RP', 'VBP', 'VBD'}",1,t,t,t,0.0,0.0
as,7618,0.006812326573170808,7.197636687255613,2,IN,3,"{'RB', 'NNP', 'IN'}",1,as,as,as,0.0,0.0
him,7015,0.006273099358203363,7.316605871311691,3,PRP,3,"{'PRP', 'NN', 'NNP'}",1,him,him,him,0.0,0.0
on,7007,0.00626594543163663,7.3182520789253545,2,IN,2,"{'NNP', 'IN'}",1,on,on,on,0.0,0.0
they,6819,0.006097828157318422,7.357488790279948,4,PRP,2,"{'PRP', 'NNP'}",1,they,they,they,0.0,0.0
with,6506,0.005817930780395022,7.42527815277782,4,IN,2,"{'NNP', 'IN'}",1,with,with,with,0.0,0.0
ron,6319,0.005650707746897655,7.467352709347873,3,NNP,5,"{'RB', 'NN', 'VB', 'NNP', 'NNPS'}",0,ron,ron,ron,7.844502835152109,0.0053459210493164945
but,6215,0.005557706701530135,7.491294583879105,3,CC,3,"{'NNP', 'NN', 'CC'}",1,but,but,but,0.0,0.0
for,5650,0.0050524606377546685,7.62879810762904,3,IN,2,"{'NNP', 'IN'}",1,for,for,for,0.0,0.0
not,5485,0.004904910902315815,7.671557354528397,3,RB,3,"{'VB', 'RB', 'NNP'}",1,not,not,not,0.0,0.0
her,5457,0.004879872159332253,7.67894093144631,3,PRP$,6,"{'PRP$', 'RB', 'NN', 'VB', 'PRP', 'NNP'}",1,her,her,her,1.7196006842017786,0.0009073433434265154
hermione,5348,0.004782399909860525,7.708049509725599,8,NNP,7,"{'RB', 'NN', 'VB', 'PRP', 'CD', 'NNP', 'RP'}",0,hermion,hermion,herm,9.767629851597142,0.005663759473349078
she,5267,0.004709966403372361,7.730067515664995,3,PRP,2,"{'PRP', 'NNP'}",1,she,she,she,1.2930129904332033,0.0006571661339501624
what,4852,0.004338856462723124,7.848469424698442,4,WP,3,"{'WP', 'WDT', 'NNP'}",1,what,what,what,0.0,0.0
be,4465,0.00399278526505745,7.968388799810367,2,VB,3,"{'VB', 'NNS', 'NNP'}",1,be,be,be,0.0,0.0
out,4386,0.003922140240210969,7.994143163145359,3,RP,6,"{'RB', 'NN', 'VB', 'NNP', 'IN', 'RP'}",1,out,out,out,0.0,0.0
up,4357,0.003896207256406565,8.003713861903785,2,RP,8,"{'RB', 'NN', 'VB', 'JJ', 'NNP', 'IN', 'RP', 'VBP'}",1,up,up,up,0.0,0.0
all,4355,0.0038944187747648818,8.004376256332725,3,DT,8,"{'RB', 'NN', 'VB', 'NNP', 'DT', 'RP', 'VBP', 'PDT'}",1,all,all,al,0.0,0.0
were,4265,0.0038139371008891437,8.0345032336133,4,VBD,4,"{'VBP', 'NNP', 'WRB', 'VBD'}",1,were,were,wer,0.0,0.0
them,4188,0.0037450805576843453,8.060787532888144,4,PRP,2,"{'PRP', 'NNP'}",1,them,them,them,0.0,0.0
have,4186,0.0037432920760426622,8.061476663563242,4,VBP,3,"{'VB', 'VBP', 'NNP'}",1,have,have,hav,0.0,0.0
from,4132,0.0036950030717172195,8.080208720953893,4,IN,2,"{'NNP', 'IN'}",1,from,from,from,0.0,0.0
we,4118,0.0036824837002254382,8.085105145186699,2,PRP,2,"{'PRP', 'NNP'}",1,we,we,we,0.43320145733875015,0.00017816806391694555
there,3835,0.003429413547927284,8.187822397428656,5,EX,4,"{'VB', 'RB', 'EX', 'NNP'}",1,there,there,ther,0.0,0.0
into,3443,0.0030788711461574025,8.343382794249036,4,IN,3,"{'VBZ', 'NNP', 'IN'}",1,into,into,into,0.0,0.0
dumbledore,3359,0.0030037549172067138,8.379017179584453,10,NNP,12,"{'RB', 'NN', 'VB', 'VBN', 'NNP', 'IN', 'JJR', 'NNPS', 'RBR', 'RP', 'VBP', 'VBD'}",0,dumbledor,dumbledor,dumbl,9.387911912817998,0.0035160234323252638
been,3266,0.002920590520868451,8.419524184257257,4,VBN,2,"{'VBN', 'NNP'}",1,been,been,been,0.0,0.0
this,3244,0.002900917222809937,8.42927515560168,4,DT,2,"{'NNP', 'DT'}",1,thi,this,thi,0.43320145733875015,0.00014090057061071824
back,3232,0.002890186332959839,8.434621777067157,4,RB,7,"{'RB', 'NN', 'VB', 'JJ', 'NNP', 'RP', 'VBP'}",0,back,back,back,0.0,0.0
so,3175,0.0028392146061718714,8.460292383272062,2,RB,5,"{'RB', 'NNP', 'IN', 'VBP', 'MD'}",1,so,so,so,0.0,0.0
who,3082,0.0027560502098336087,8.503182113304167,3,WP,2,"{'WP', 'NNP'}",1,who,who,who,0.0,0.0
is,3045,0.002722963299462472,8.520606747025257,2,VBZ,2,"{'VBZ', 'NNP'}",1,is,is,is,1.2930129904332033,0.0003888271515843192
me,2871,0.002567365396636045,8.60549564461177,2,PRP,3,"{'PRP', 'NN', 'NNP'}",1,me,me,me,0.0,0.0
could,2861,0.0025584229884276295,8.610529477495769,5,MD,4,"{'VB', 'NNP', 'MD', 'NNS'}",0,could,could,could,0.0,0.0
no,2763,0.002470787387985159,8.66081341300646,2,DT,7,"{'RB', 'NN', 'NNP', 'CC', 'DT', 'UH', 'VBD'}",1,no,no,no,0.43320145733875015,0.00011913720206958575
if,2683,0.0023992481223178365,8.703201920558431,2,IN,2,"{'NNP', 'IN'}",1,if,if,if,0.43320145733875015,0.00011759904097439305
now,2679,0.0023956711590344703,8.705354393976574,3,RB,2,"{'RB', 'NNP'}",1,now,now,now,0.0,0.0
then,2653,0.0023724208976925905,8.719424299590257,4,RB,2,"{'RB', 'NNP'}",1,then,then,then,0.0,0.0
an,2651,0.0023706324160509074,8.720512304951693,2,DT,2,"{'NNP', 'DT'}",1,an,an,an,0.0,0.0
one,2605,0.0023294973382921966,8.745765602653082,3,CD,4,"{'PRP', 'CD', 'NN', 'NNP'}",0,one,one,on,0.0,0.0
their,2600,0.0023250261341879893,8.748537351903135,5,PRP$,2,"{'PRP$', 'NNP'}",1,their,their,their,0.0,0.0
about,2512,0.002246332941953934,8.798212510927325,5,IN,4,"{'RB', 'RP', 'NNP', 'IN'}",1,about,about,about,0.0,0.0
over,2417,0.0021613800639739885,8.853831502053369,4,IN,5,"{'RB', 'NN', 'VB', 'IN', 'RP'}",1,over,over,ov,0.43320145733875015,0.00010205127083497785
like,2379,0.00212739891278201,8.876693703393817,4,IN,5,"{'VB', 'JJ', 'NNP', 'IN', 'VBP'}",0,like,like,lik,0.0,0.0
looked,2361,0.0021113025780068622,8.88765093359031,6,VBD,4,"{'JJ', 'RB', 'VBN', 'VBD'}",0,look,look,look,0.0,0.0
down,2348,0.0020996774473359225,8.8956165667089,4,RP,8,"{'RB', 'NN', 'VB', 'JJ', 'VBN', 'NNP', 'IN', 'RP'}",1,down,down,down,0.0,0.0
when,2341,0.0020934177615900317,8.89992404070694,4,WRB,2,"{'WRB', 'NNP'}",1,when,when,when,0.43320145733875015,0.00010034567974703769
do,2325,0.0020791099084565673,8.909818258936197,2,VB,5,"{'NN', 'VB', 'JJ', 'NNP', 'VBP'}",1,do,do,do,1.2930129904332033,0.00029969752799467785
just,2313,0.0020683790186064688,8.917283709182762,4,RB,2,"{'RB', 'NNP'}",1,just,just,just,0.0,0.0
would,2301,0.00205764812875637,8.924787991594863,5,MD,2,"{'NNP', 'MD'}",0,would,would,would,0.43320145733875015,9.983413502888572e-05
know,2271,0.002030820904131124,8.943721269112064,4,VBP,7,"{'NN', 'VB', 'JJ', 'NNS', 'NNP', 'VBP', 'VBD'}",0,know,know,know,0.43320145733875015,9.901470172118119e-05
did,2266,0.002026349700026917,8.946901113998436,3,VBD,6,"{'NN', 'VB', 'VBZ', 'NNP', 'VBP', 'VBD'}",1,did,did,did,0.43320145733875015,9.534016800240987e-05
around,2261,0.002021878495922709,8.950087983067423,6,IN,6,"{'RB', 'NN', 'VBN', 'NNP', 'IN', 'RP'}",0,around,around,around,0.0,0.0
by,2213,0.001978954936522315,8.98104552401794,2,IN,2,"{'NNP', 'IN'}",1,by,by,by,0.0,0.0
your,2156,0.0019279832097343478,9.018691797066447,4,PRP$,4,"{'PRP$', 'CD', 'NNP', 'VB'}",1,your,your,yo,0.8642094988784059,0.00018993610976302411
can,2148,0.0019208292831676156,9.02405498183354,3,MD,2,"{'NNP', 'MD'}",1,can,can,can,0.43320145733875015,9.347828650147755e-05
ve,2135,0.0019092041524966757,9.032812905311099,2,JJ,13,"{'RB', 'NN', 'VB', 'JJ', 'VBZ', 'NNS', 'VBG', 'IN', 'NNP', 'FW', 'RP', 'VBP', 'VBD'}",1,ve,ve,ve,3.403564449938014,0.0007615353036980058
got,2109,0.0018859538911547957,9.05048988002526,3,VBD,7,"{'NN', 'JJ', 'NNS', 'VBN', 'NNP', 'VBP', 'VBD'}",0,got,got,got,1.2930129904332033,0.0002788344047905044
very,2078,0.0018582324257087081,9.071853320914741,4,RB,4,"{'JJ', 'RB', 'NN', 'NNP'}",1,veri,veri,very,1.2930129904332033,0.0002719987566169918
hagrid,2039,0.0018233570336958884,9.099187199802357,6,NNP,5,"{'NN', 'VB', 'JJ', 'NNP', 'RP'}",0,hagrid,hagrid,hagrid,23.532847166909097,0.007210567505732375
d,2039,0.0018233570336958884,9.099187199802357,1,JJ,12,"{'RB', 'NN', 'VB', 'JJ', 'EX', 'VBZ', 'NNS', 'VBG', 'NNP', 'IN', 'VBP', 'VBD'}",1,d,d,d,1.7196006842017786,0.0003710691130127634
are,2036,0.0018206743112333637,9.101311413743257,3,VBP,3,"{'IN', 'VBP', 'NNP'}",1,are,are,ar,0.43320145733875015,8.746340914918126e-05
professor,2029,0.001814414625487473,9.106280110062293,9,NNP,4,"{'VBP', 'NN', 'NNP', 'VB'}",0,professor,professor,profess,20.230644141281807,0.005596980120085727
well,2006,0.0017938470866081177,9.122727369206771,4,RB,5,"{'RB', 'NN', 'NNP', 'UH', 'VBP'}",0,well,well,wel,2.1439612170192297,0.0004330037017132857
my,1998,0.0017866931600413855,9.128492392026534,2,PRP$,3,"{'PRP$', 'JJ', 'NNP'}",1,my,my,my,1.2930129904332033,0.000268347135123114
don,1963,0.0017553947313119318,9.153988802352782,3,VBP,8,"{'NN', 'VB', 'JJ', 'VBZ', 'NNS', 'NNP', 'VBP', 'VBD'}",1,don,don,don,0.43320145733875015,8.690450205244634e-05
again,1931,0.0017267790250450026,9.177700810868302,5,RB,3,"{'RB', 'NN', 'NNP'}",1,again,again,again,0.0,0.0
see,1930,0.001725884784224161,9.17844812766351,3,VB,6,"{'NN', 'VB', 'NNS', 'NNP', 'VBP', 'VBD'}",0,see,see,see,0.8642094988784059,0.0001652695886317994
more,1925,0.0017214135801199534,9.182190529349326,4,RBR,4,"{'JJR', 'RBR', 'NN', 'NNP'}",1,more,more,mor,0.43320145733875015,8.052053936725249e-05
re,1910,0.0017079999678073303,9.193476336895841,2,JJ,11,"{'RB', 'NN', 'VB', 'JJ', 'PRP', 'VBZ', 'NNS', 'VBG', 'NNP', 'VBP', 'VBD'}",1,re,re,re,2.5660831085730567,0.0004974700238210205
off,1846,0.0016507685552734723,9.242646422173179,3,RP,6,"{'RB', 'NN', 'VBN', 'NNP', 'IN', 'RP'}",1,off,off,off,0.8642094988784059,0.00016015063913530806
snape,1821,0.0016284125347524338,9.262318052842113,5,NNP,4,"{'VB', 'NN', 'VBN', 'NNP'}",0,snape,snape,snap,24.5303176655153,0.006801405083223756
though,1814,0.0016221528490065432,9.26787451929043,6,IN,5,"{'RB', 'NN', 'JJ', 'NNP', 'IN'}",0,though,though,though,0.0,0.0
how,1809,0.0016176816449023355,9.27185656719771,3,WRB,2,"{'WRB', 'NNP'}",1,how,how,how,1.7196006842017786,0.00031363618355084103
think,1746,0.0015613444731893188,9.322995416189512,5,VBP,5,"{'NN', 'VB', 'IN', 'NNP', 'VBP'}",0,think,think,think,0.43320145733875015,7.487836923650435e-05
still,1712,0.0015309402852807066,9.351366273417806,5,RB,2,"{'RB', 'NNP'}",0,still,still,stil,0.0,0.0
get,1710,0.0015291518036390237,9.353052650045692,3,VB,6,"{'NN', 'VB', 'PRP', 'VBZ', 'NNP', 'VBP'}",0,get,get,get,1.7196006842017786,0.00029568976720958023
time,1707,0.001526469081176499,9.355585916791215,4,NN,2,"{'NN', 'NNP'}",0,time,time,tim,0.8642094988784059,0.00014859837620385128
looking,1649,0.00147460311356769,9.405457576381485,7,VBG,1,{'VBG'},0,look,look,look,1.2930129904332033,0.00021032227599823174
wand,1640,0.0014665549461801161,9.413353160313507,4,NN,7,"{'RB', 'NN', 'VB', 'JJ', 'NNP', 'JJR', 'VBP'}",0,wand,wand,wand,7.844502835152109,0.001341423576699838
right,1639,0.0014656607053592746,9.414233120719494,5,JJ,8,"{'RB', 'NN', 'VB', 'JJ', 'VBN', 'NNP', 'VBP', 'VBD'}",0,right,right,right,0.0,0.0
eyes,1619,0.001447775888942444,9.431945989516386,4,NNS,3,"{'VB', 'RB', 'NNS'}",0,eye,eye,ey,0.43320145733875015,7.063081018075063e-05
or,1618,0.0014468816481216025,9.432837367388975,2,CC,2,"{'NNP', 'CC'}",1,or,or,or,0.8642094988784059,0.00013631404117224062
ll,1600,0.0014307853133464549,9.448977070044227,2,JJ,13,"{'RB', 'NN', 'VB', 'JJ', 'PRP', 'VBZ', 'NNS', 'NNP', 'JJR', 'CC', 'RBR', 'VBP', 'VBD'}",1,ll,ll,ll,2.985954759582146,0.0005041273479375481
weasley,1598,0.0014289968317047718,9.450781566890976,7,NNP,2,"{'NN', 'NNP'}",0,weasley,weasley,weasley,19.637032211289352,0.004553576231595678
through,1557,0.001392332958050269,9.488280030739915,7,IN,3,"{'RB', 'RP', 'IN'}",1,through,through,through,0.43320145733875015,6.493322603767363e-05
face,1525,0.0013637172517833398,9.51823973248134,4,NN,5,"{'RB', 'NN', 'VB', 'NNP', 'VBP'}",0,face,face,fac,1.7196006842017786,0.0002662186125086407
which,1481,0.0013243706556663123,9.560477334530104,5,WDT,3,"{'JJ', 'WDT', 'NNP'}",1,which,which,which,0.43320145733875015,6.2475578498e-05
going,1475,0.001319005210741263,9.566334020682387,5,VBG,2,"{'VBG', 'NNP'}",0,go,go,going,2.1439612170192297,0.00032921825253934506
before,1465,0.0013100628025328478,9.576148310509343,6,IN,3,"{'RB', 'NN', 'IN'}",1,befor,befor,bef,0.43320145733875015,6.321077547262654e-05
here,1461,0.0013064858392494816,9.580092797015453,4,RB,2,"{'RB', 'NNP'}",1,here,here,her,2.1439612170192297,0.0003130243537593634
voice,1460,0.00130559159842864,9.581080606051573,5,NN,4,"{'RB', 'JJ', 'NN', 'NNP'}",0,voic,voic,voic,0.8642094988784059,0.00012297039794885773
look,1446,0.0012930722269368586,9.594981422867834,4,NN,9,"{'JJS', 'NN', 'VB', 'NNS', 'NNP', 'UH', 'RBR', 'VBP', 'VBD'}",0,look,look,look,0.8642094988784059,0.00012591362765486714
go,1427,0.0012760816513408694,9.614063640343188,2,VB,6,"{'NN', 'VB', 'JJ', 'NNS', 'NNP', 'VBP'}",0,go,go,go,0.8642094988784059,0.0001240719119612831
where,1410,0.0012608795573865632,9.631353812532797,5,WRB,3,"{'NN', 'WRB', 'NNP'}",1,where,where,wher,0.0,0.0
didn,1405,0.0012564083532823557,9.636478844710664,4,VBP,8,"{'NN', 'VB', 'JJ', 'VBZ', 'NNP', 'FW', 'VBP', 'VBD'}",1,didn,didn,didn,3.818900336806755,0.0005886069123489505
than,1402,0.001253725630819831,9.63956262580833,4,IN,2,"{'NNP', 'IN'}",1,than,than,than,1.2930129904332033,0.00017936807932377664
will,1371,0.0012260041653737435,9.671820404039726,4,MD,2,"{'NNP', 'MD'}",1,will,will,wil,5.051144866289839,0.0007315816921302728
room,1353,0.0012099078305985958,9.690887135842415,4,NN,2,"{'NN', 'NNP'}",0,room,room,room,7.05826729328299,0.0010425656050683406
only,1353,0.0012099078305985958,9.690887135842415,4,RB,3,"{'JJ', 'RB', 'NNP'}",1,onli,onli,on,0.43320145733875015,5.956568635375407e-05
m,1350,0.0012072251081360712,9.69408956788076,1,JJ,15,"{'RB', 'NN', 'VB', 'JJ', 'PRP', 'RBS', 'NNS', 'VBG', 'NNP', 'CD', 'VBZ', 'FW', 'RBR', 'MD', 'PDT'}",1,m,m,m,4.2319504526914224,0.0006088875994790347
come,1336,0.0011947057366442897,9.7091289673449,4,VB,8,"{'NN', 'VB', 'JJ', 'VBZ', 'VBN', 'NNP', 'VBP', 'VBD'}",0,come,come,com,1.7196006842017786,0.00022919827977297726
malfoy,1331,0.0011902345325400822,9.71453840390706,6,NNP,4,"{'VB', 'NN', 'VBN', 'NNP'}",0,malfoy,malfoy,malfoy,26.360619643449823,0.0058477999426949446
too,1328,0.0011875518100775576,9.717793828472027,3,RB,3,"{'RB', 'NN', 'NNP'}",1,too,too,too,0.43320145733875015,5.7285054174894827e-05
door,1322,0.0011821863651525083,9.72432679831126,4,NN,4,"{'JJ', 'VBZ', 'NN', 'NNP'}",0,door,door,door,5.8610493812381685,0.0008039637394175157
head,1322,0.0011821863651525083,9.72432679831126,4,NN,7,"{'NN', 'VB', 'JJ', 'VBN', 'NNP', 'VBP', 'VBD'}",0,head,head,head,1.7196006842017786,0.00022840931719841006
thought,1291,0.0011544648997064207,9.758559974511762,7,VBD,8,"{'RB', 'NN', 'JJ', 'VBN', 'NNP', 'IN', 'VBP', 'VBD'}",0,thought,thought,thought,0.8642094988784059,0.00011265158859636119
mr,1279,0.0011437340098563223,9.772032710937316,2,NNP,4,"{'VBP', 'NN', 'VBN', 'NNP'}",0,mr,mr,mr,19.031521430182888,0.003380835584177263
voldemort,1240,0.0011088586178435026,9.816708854544714,9,NNP,3,"{'VB', 'NN', 'NNP'}",0,voldemort,voldemort,voldemort,23.78721327876645,0.004592671999131563
potter,1226,0.001096339246351721,9.833089996128171,6,NNP,5,"{'NN', 'VB', 'JJ', 'NNP', 'JJR'}",0,potter,potter,pot,10.891836274371133,0.0014903921770951954
something,1224,0.001094550764710038,9.8354454171263,9,NN,3,"{'NN', 'VBG', 'NNP'}",0,someth,someth,someth,0.8642094988784059,0.00010684124882152854
saw,1219,0.0010900795606058303,9.84135084919874,3,VBD,6,"{'NN', 'VB', 'JJ', 'VBZ', 'NNP', 'VBD'}",0,saw,saw,saw,1.7196006842017786,0.00020138725839720565
after,1181,0.0010560984094138519,9.887040010421796,5,IN,2,"{'NNP', 'IN'}",1,after,after,aft,2.5660831085730567,0.0003046451364187362
other,1152,0.0010301654256094474,9.92290825837664,5,JJ,2,"{'JJ', 'NNP'}",1,other,other,oth,2.1439612170192297,0.00024281348763513397
behind,1150,0.0010283769439677643,9.925415113987215,6,IN,8,"{'RB', 'NN', 'VB', 'VBZ', 'IN', 'NNP', 'RP', 'VBP'}",0,behind,behind,behind,0.8642094988784059,9.65654004257748e-05
never,1147,0.0010256942215052399,9.929183583803127,5,RB,2,"{'RB', 'NNP'}",0,never,never,nev,2.1439612170192297,0.00025916143333523433
seemed,1137,0.0010167518132968244,9.941816720926704,6,VBD,5,"{'JJ', 'VBN', 'NNP', 'VBD', 'PDT'}",0,seem,seem,seem,2.1439612170192297,0.0002429994628346011
sirius,1135,0.0010149633316551413,9.944356677640675,6,NNP,4,"{'VB', 'JJ', 'NN', 'NNP'}",0,siriu,sirius,siri,28.141840836158458,0.005452973402514383
way,1132,0.0010122806091926169,9.94817501698707,3,NN,2,"{'NN', 'NNP'}",0,way,way,way,0.43320145733875015,4.859617861626719e-05
hand,1131,0.0010113863683717753,9.949450045829131,4,NN,2,"{'NN', 'NNP'}",0,hand,hand,hand,0.8642094988784059,9.736077242454982e-05
away,1126,0.0010069151642675676,9.955842147738723,4,RB,4,"{'RB', 'RP', 'NN', 'NNP'}",0,away,away,away,1.7196006842017786,0.00019319741256802612
himself,1124,0.0010051266826258845,9.958406939598026,7,PRP,1,{'PRP'},1,himself,himself,himself,0.8642094988784059,9.65409372458114e-05
told,1097,0.0009809821804631631,9.99348544941576,4,VBD,7,"{'NN', 'VB', 'JJ', 'VBN', 'NNP', 'IN', 'VBD'}",0,told,told,told,4.642702703453042,0.0005504099530908693
asked,1095,0.00097919369882148,9.996118105330417,5,VBD,2,"{'VBN', 'VBD'}",0,ask,ask,ask,5.051144866289839,0.0005798832137155742
turned,1072,0.0009586261599421247,10.02674406936118,6,VBD,4,"{'JJ', 'VBP', 'VBN', 'VBD'}",0,turn,turn,turn,1.7196006842017786,0.00018177470301581074
once,1067,0.0009541549558379171,10.033488798994528,4,RB,4,"{'RB', 'NNP', 'NN', 'IN'}",1,onc,onc,ont,0.8642094988784059,9.181632336093559e-05
toward,1058,0.0009461067884503433,10.045709347704927,6,IN,1,{'IN'},0,toward,toward,toward,2.985954759582146,0.0003118111630837969
last,1053,0.0009416355843461356,10.052543538793236,4,JJ,2,"{'JJ', 'NNP'}",0,last,last,last,2.1439612170192297,0.0002325797731916811
much,1039,0.0009291162128543541,10.071853320914741,4,JJ,5,"{'RB', 'VB', 'JJ', 'VBN', 'NNP'}",0,much,much,much,3.818900336806755,0.00040219658395185243
us,1038,0.0009282219720335126,10.073242531461071,2,PRP,2,"{'PRP', 'NNP'}",0,us,us,us,6.2624866256313165,0.0006958826853612118
two,1032,0.0009228565271084633,10.081606004395699,3,CD,2,"{'CD', 'NNP'}",0,two,two,two,4.642702703453042,0.0005017416029774657
why,1031,0.0009219622862876218,10.083004642450843,3,WRB,2,"{'WRB', 'NNP'}",1,whi,whi,why,2.5660831085730567,0.0002728668249832887
dark,1024,0.000915702600541731,10.092833259818953,4,NNP,6,"{'NN', 'VB', 'JJ', 'VBN', 'NNP', 'VBP'}",0,dark,dark,dark,5.051144866289839,0.0005294590806533742
little,1016,0.0009085486739749988,10.104148573046787,6,JJ,3,"{'JJ', 'RB', 'NNP'}",0,littl,littl,littl,4.642702703453042,0.0004892765755695921
long,1008,0.0009013947474082666,10.115553336319035,4,JJ,6,"{'RB', 'NN', 'VB', 'JJ', 'CD', 'NNP'}",0,long,long,long,2.1439612170192297,0.00022179475315342386
knew,1003,0.0008969235433040589,10.122727369206771,4,VBD,8,"{'NN', 'VB', 'VBZ', 'NNS', 'NNP', 'FW', 'VBP', 'VBD'}",0,knew,knew,knew,3.403564449938014,0.0003553298408747833
good,1002,0.0008960293024832173,10.124166466623745,4,JJ,5,"{'NN', 'VB', 'JJ', 'NNP', 'VBD'}",0,good,good,good,4.642702703453042,0.000480936479788635
even,1002,0.0008960293024832173,10.124166466623745,4,RB,2,"{'RB', 'NNP'}",0,even,even,ev,3.403564449938014,0.00035963324738862927
want,996,0.0008906638575581681,10.132831327750871,4,VBP,5,"{'NN', 'VB', 'JJ', 'NNP', 'VBP'}",0,want,want,want,2.1439612170192297,0.0002205324754138768
oh,992,0.000887086894274802,10.138636949432078,2,NNP,9,"{'RB', 'NN', 'JJ', 'VBZ', 'NNP', 'IN', 'UH', 'VBP', 'MD'}",0,oh,oh,oh,7.452584778834505,0.0008032148732260007
tell,971,0.0008683078370371297,10.16950577439976,4,VB,7,"{'NN', 'VB', 'JJ', 'IN', 'NNP', 'VBP', 'VBD'}",0,tell,tell,tel,5.8610493812381685,0.0006130323415163509
first,967,0.0008647308737537636,10.175461180342111,5,JJ,5,"{'RB', 'VB', 'JJ', 'CD', 'NNP'}",0,first,first,first,3.403564449938014,0.0003389924573146099
let,946,0.0008459518165160915,10.207136886479557,3,VB,8,"{'NN', 'VB', 'JJ', 'VBZ', 'VBN', 'NNP', 'VBP', 'VBD'}",0,let,let,let,2.985954759582146,0.00028406613283449435
people,943,0.0008432690940535668,10.211719299143855,6,NNS,2,"{'NNS', 'NNP'}",0,peopl,peopl,peopl,4.642702703453042,0.00046474530865129134
some,941,0.0008414806124118837,10.214782347090416,4,DT,2,"{'NNP', 'DT'}",1,some,some,som,1.7196006842017786,0.00016338331902156146
heard,936,0.0008370094083076761,10.222468540235548,5,VBD,10,"{'RB', 'NN', 'VB', 'JJ', 'VBN', 'NNP', 'JJR', 'VBP', 'VBD', 'PDT'}",0,heard,heard,heard,3.818900336806755,0.0003722659283238369
made,934,0.000835220926665993,10.22555452010929,4,VBD,4,"{'VB', 'NNP', 'VBN', 'VBD'}",0,made,made,mad,1.7196006842017786,0.00016230041030066412
black,931,0.0008325382042034684,10.230195902260158,5,JJ,4,"{'VB', 'JJ', 'NN', 'NNP'}",0,black,black,black,10.519606377597645,0.0012318482394603006
left,922,0.0008244900368158946,10.244210319389614,4,VBD,7,"{'RB', 'NN', 'JJ', 'VBN', 'NNP', 'FW', 'VBD'}",0,left,left,left,3.403564449938014,0.00032016528694881727
fred,909,0.0008128649061449547,10.264696775624845,4,NNP,4,"{'VBD', 'JJ', 'VBN', 'NNP'}",0,fred,fred,fred,26.988064115634767,0.004068175376087727
yes,907,0.0008110764245032716,10.26787451929043,3,NNP,8,"{'RB', 'NN', 'PRP', 'NNS', 'NNP', 'CC', 'UH', 'MD'}",0,ye,yes,ye,8.234008131936621,0.0008263217802936015
