term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
pressed,-0.016887143012295217,-0.012412823010350578,-0.006152355997496253,-3.8574963257876356e-05,0.009820129266413645,-0.003968365774568191,0.013806350983943507,-0.0011735070946462093,0.0019419264874495873,-0.0050693749367329574
recognized,-0.018032926927030346,-0.00885417877435607,-0.00882060529010291,0.0058006550748424535,-0.005804830688280971,0.008844579467272407,0.011891470335331333,0.061605828666204655,0.01024783325930743,-0.03200828131974207
perfectly,-0.007399860783773193,0.0161222591396743,-0.024186452094437774,-0.010362057969978463,-0.0127072264778973,0.024510063143546913,0.029664809609384148,-0.0008493196360921924,0.009461772587256037,-0.004803880591529064
hoping,0.0020151549649579104,0.015715632253701428,-0.011429600298770853,-0.00910459915130986,-0.00095888460151905,0.0046245306435926115,-0.00693143932044743,0.02178267491727956,0.024611866457907507,0.0050499690388678825
touch,-0.007153715594202109,-0.01895418339643118,0.005709259277416862,-0.01549405766693199,-0.008591616942571434,0.005586226799849162,0.02163110431038448,0.022217067343344325,-0.016146518680699818,0.0020105477037238723
sideways,-0.018065259616046034,-0.022585781408348105,0.029448947311185705,0.017687295847590056,0.029816486249752194,-0.006583167121466366,-0.013368372245762206,-0.0014100147356694674,0.002333215651939849,-0.013986383175564332
definitely,0.0028797814049637167,0.020569137782842112,-0.018845247908589213,-0.023793498129188722,0.002805078403406547,0.0054495506388408665,0.014179153245806413,0.011414505755481868,0.0029501238923072253,-0.016209395453817346
information,-0.031222907545986264,-0.007042233861661057,-0.019814746771549596,-0.03917698835012458,-0.013476538869472005,0.027517449808484945,0.07466244600586563,0.008707110194254766,-0.0237985234885724,0.0015984293243056918
send,0.007938172057543618,-0.0048037525288615185,-0.027602955333032364,0.019933914228181474,-0.007575801830123963,-0.013571329218568351,-0.011632549728680185,-0.01841901564684774,0.019930141037383775,-0.007040967366176015
join,-7.294608653993868e-05,0.014506581010407834,-0.009025743212487072,-0.004196321930305859,0.023940322782970536,0.01359710855769046,0.029338952505736093,0.03667893301992602,0.0008282678733381524,-0.0003644981858734464
step,-0.01570086440981826,-0.011604766097380776,0.011397747357982109,-0.0008555471208052529,0.042300192298854344,-0.015111119159192589,0.001442124924703636,-0.004135296226942305,0.04747838040636854,0.052413776131109355
distant,-0.004797905952842225,-0.004572911699204502,0.02722411470079833,-0.003150448391287971,0.01731143156574802,0.008756805196568573,0.013849178473134383,0.010714752602489257,0.008984428220581424,-0.018342443276849002
fallen,-0.009492873056446877,-0.025659956990176327,0.030175101073406076,-0.005755941448637558,0.005147740672158396,0.013493320021321475,0.01211749049829234,-0.008594986828195289,-0.004966013172226613,-0.0006321398470588435
living,-0.04945873173698482,-0.021603641012116807,-0.0625560280558103,0.00755661056850182,-0.04112715382006349,0.028216144279994748,-0.005312597633364696,-0.039708562701062294,-0.00900782370116128,-0.013197482646522957
forest,0.06594003906089133,-0.12560060333806944,0.11540943420278504,-0.044486604319879774,0.07380272795034995,0.05523751188869719,0.003439307097556854,-0.08047165197305262,-0.08468981588190468,-0.3052228348361925
purple,-0.006975152020031112,0.011782569443935265,-0.02497627167050999,0.025090380708133853,-0.0036055265343531984,-0.010762650151187658,-0.030114828827206237,0.004070276735320441,0.013764526264739965,0.0007333374684344585
class,0.13057515879526524,0.20990549913126683,0.053184524204190106,-0.14699011362034897,0.2185889458979362,0.156499766778073,-0.11179328421976009,-0.20733397827423045,-0.022193456071609247,0.00825784906978029
bottle,0.006332298971712873,0.026378585661455935,-0.020430423418789714,-0.04823302525792578,-0.026306592056912943,0.01688491581341839,-0.007106014832764712,0.003839535241165648,-0.006981294965756252,0.002568129248480433
impatiently,0.00437397854801758,0.015388339951324496,-0.014281802740168067,-0.011874795298419602,0.020275501052097453,-0.006494060042528754,0.003534875503184237,-0.02082162408831878,-0.0005344090827785197,-0.03245891474910789
control,-0.020942621704057175,-0.0041785746593821955,-0.003714335978592498,0.006025627378354607,0.003724980271572381,0.008438075125991602,0.020256317650023416,-0.009243404029400382,0.00908477315509848,-0.022081386374993267
hanging,-0.00542371411160245,0.0009246791898541633,0.012932172840643222,0.008144418730842456,0.023508877047639123,-0.02443691897591444,-0.0343152519236882,-0.008009274017840018,0.0016766336886748223,0.010896480815983125
powerful,-0.02461529431610435,-0.025930836488987166,-0.0012497737166920987,-0.044170099909030376,-0.011686459318831655,0.004700214990282644,0.020084809305968405,0.021682951105687243,-0.029404476068856766,0.007100110086675437
particularly,0.009105543027404217,0.03792882817372262,0.0016408099227676583,-0.008611582006008969,0.003131937915093092,0.011109091085434617,0.018092927846882108,0.019477563043795,-0.004947588944414882,-0.004844423962899691
somehow,0.0007816098644029893,0.00014410827485771406,-0.007806966175693801,-0.007643209161646479,-0.006491663915225332,-0.007624437300982704,0.004439580780481585,0.016547591171980736,0.015066399625377175,0.004111667051042933
dunno,0.02119768290482172,0.006456024792146502,-0.014689311005272515,-0.0050964578293695665,0.011207329838297225,0.022123367538429375,0.02006780058621093,0.0315532026965456,-0.0036486028142491134,0.006602320393852057
